"area","tanggal_kejadian","tahun","bulan","quarter","idkejadian","kodebpsprop","provinsi","kodebpskab","kabupaten","kodebpskec1","kecamatan1","kodebpskec2","kecamatan2","desa1","desa2","desa3","actor_s1_tp","actor_s1_tp_o","actor_s1_tot","actor_s2_tp","actor_s2_tp_o","actor_s2_tot","int1","int2","int1_res","int2_res","int1_o","int2_o","int1_res_o","int2_res_o","kil_total","kil_f","inj_total","inj_f","kidnap_tot","kid_f","sex_as_tot","sex_f","build_dmg_total","bdg_des","oth_impact","weapon_1","weapon_2","weapon_oth","jenis_kek","isu_indv","tp_kek1_new","tp_kek1_o","ben_kek1","ben_kek1_o","ben_kek2","ben_kek2_o","meta_tp_kek1_new","insd_desc","create","last_update","full_coverage","s1","s2","s3","s4","s5","s6","s7","s8","weapon","wpnfarm","wpnfarmman","wpnfarmhmde","wpnexpl","wpnshrp","wpnblunt","wpnfire","intervention","intvnrsecforfrml","intvnrtni","intvnrpol","intvnrbrimob","intvnrcvln","intvntnressucces","intvntnviolup","actcountrelormas","actcountparpol","actcountseprtst","actcountgov","actcountstudents","secvssec","onewayformconf","twowayformconf","death1","death3","death5","death10","largeinc","evperiod","pevperiod","preevperiod","ev2period","pev2period"
"ACEH","01/11/2002",2002,11,4,"11A434",11,"Nanggro Aceh Darussalam",1112,"ACEH BARAT DAYA",1112050,"KUALA BATEE",0,"TIDAK ADA","krueng batee",,,1,,0,1,,1,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,"-",5,0,,2,0,7703,,11,,0,,88887,"1/11/2002. Ditemukan sesosok mayat laki-laki di Desa alue Jeureujak, Kec. Babah rot, Aceh barat daya oleh warga sekitar. Diduga korban dibunuh karena sebelumnya korban diculik sekitar awal November dan korban bernama Sukardi, warga desa krueng.","26/03/2010","26/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"ACEH","01/11/2002",2002,11,4,"11A436",11,"Nanggro Aceh Darussalam",1110,"BIREUEN",1110080,"PEUSANGAN",0,"TIDAK ADA","awe geutah",,,14,,0,17,,0,0,0,0,0,,,,,2,0,0,0,0,0,0,0,0,0,"-",5,0,,1,0,9903,,6,,0,,88889,"1/11/2002. Terjadi kontak senjata antara TNI dan GAM di Kawasan Desa Awee Geutah, Kec. Peusangan, Kab. Bireuen. Dalam insiden itu 2 anggota GAM tewas, yakni Maulana Irvan (27) dan 1 orang tanpa identitas.","26/03/2010","26/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"ACEH","01/11/2002",2002,11,4,"11A437",11,"Nanggro Aceh Darussalam",1114,"ACEH TAMIANG",1114010,"TAMIANG HULU",0,"TIDAK ADA","pulo lhee",,,14,,0,17,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,"-",5,0,,1,0,9903,,6,,11,,88889,"1/11/2002. Terjadi kontak senjata antara TNI dengan GAM di Kampung Seureke, Pulo Lhee, Kec. Tamiang Hulu. Akibat insiden ini masyarakat dikasari.","26/03/2010","26/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"ACEH","01/11/2002",2002,11,4,"11A438",11,"Nanggro Aceh Darussalam",1105,"ACEH TIMUR",1105130,"IDI RAYEUK",0,"TIDAK ADA",,,,17,,0,1,,1,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,"-",1,0,,2,0,7703,,14,,0,,88887,"1/11/2002. Terjadi insiden perampokan 1 sepeda motor milik Ilyas (30), warga Desa Tanoh, Idi Rayeuk. Pelaku diduga anggota GAM.","26/03/2010","26/03/2010",1,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","01/11/2002",2002,11,4,"11A439",11,"Nanggro Aceh Darussalam",1110,"BIREUEN",1110070,"JANGKA",0,"TIDAK ADA",,,,17,,0,1,,1,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,"-",8,0,,2,0,7703,,10,,0,,88887,"1/11/2002. terjadi insiden pembakaran yang dilakukan oleh anggota GAM terhadap 1 unit rumah penduduk milik Ibrahim, warga Jangka, Bireuen.","26/03/2010","26/03/2010",1,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","01/11/2002",2002,11,4,"11A442",11,"Nanggro Aceh Darussalam",1174,"LHOKSEUMAWE",1174020,"MUARA DUA",0,"TIDAK ADA",,,,17,,0,5,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,"-",8,0,,1,0,9903,,10,,0,,88889,"1/11/2002. Terjadi insiden pembakaran terhadap gedung SD Blang Naleung Mameh, Kec. Muara Dua. Insiden itu dilakukan oleh GAM.","26/03/2010","26/03/2010",1,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","02/11/2002",2002,11,4,"11A443",11,"Nanggro Aceh Darussalam",1110,"BIREUEN",1110080,"PEUSANGAN",0,"TIDAK ADA","sagoe",,,1,,0,1,,1,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,"-",5,0,,2,0,7703,,11,,0,,88887,"2/11/2002. Yusrizal (30) warga Desa Tambo, Peusangan, Bireuen tewas ditembak OTK di Desa Sago, Kec. Peusangan.","26/03/2010","26/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"ACEH","02/11/2002",2002,11,4,"11A444",11,"Nanggro Aceh Darussalam",1109,"PIDIE",1109200,"KOTA SIGLI",0,"TIDAK ADA","blang asan",,,1,,0,1,,5,0,0,0,0,,,,,0,0,0,0,0,0,0,0,5,5,"-",8,0,,2,0,7703,,10,,0,,88887,"2/11/2002. Lima unit rumah penduduk kelurahan Blang Asan, Kota sigli, Pidie hangus terbakar. Rumah yang terbakar adalah milik Drs. Abdul Jalil, Daud Husen, Jufri Johan.","26/03/2010","26/03/2010",1,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","02/11/2002",2002,11,4,"11A445",11,"Nanggro Aceh Darussalam",1171,"BANDA ACEH",1171021,"LUENG BATA",0,"TIDAK ADA",,,,1,,2,1,,1,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,"-",5,0,,2,0,7703,,14,,0,,88887,"2/11/2002. Terjadi insiden perampokan yang dilakukan oleh OTK terhadap korban Khairul (20). Insiden itu terjadi di Jalan AMD kawasan Lueng Bata, Banda Aceh.","26/03/2010","26/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"ACEH","02/11/2002",2002,11,4,"11A446",11,"Nanggro Aceh Darussalam",1105,"ACEH TIMUR",1105150,"NURUSSALAM",0,"TIDAK ADA",,,,17,,0,18,,1,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,"-",8,0,,1,0,9903,,10,,0,,88889,"2/11/2002. Terjadi insiden pembakaran terhadap sekolah di kec. Nurussalam. Pembakaran diduga dilakukan oleh GAM. Sekolah yang dibakar berjumlah 5, yaitu SDN Teupin Pukat Bagok, SLTPN Simpang Ulim, SMUN 1 Simpang Ulim, SLTPN 4 Simpang Ulim dan M","26/03/2010","26/03/2010",1,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
