"area","tanggal_kejadian","tahun","bulan","quarter","idkejadian","kodebpsprop","provinsi","kodebpskab","kabupaten","kodebpskec1","kecamatan1","kodebpskec2","kecamatan2","desa1","desa2","desa3","actor_s1_tp","actor_s1_tp_o","actor_s1_tot","actor_s2_tp","actor_s2_tp_o","actor_s2_tot","int1","int2","int1_res","int2_res","int1_o","int2_o","int1_res_o","int2_res_o","kil_total","kil_f","inj_total","inj_f","kidnap_tot","kid_f","sex_as_tot","sex_f","build_dmg_total","bdg_des","oth_impact","weapon_1","weapon_2","weapon_oth","jenis_kek","isu_indv","tp_kek1_new","tp_kek1_o","ben_kek1","ben_kek1_o","ben_kek2","ben_kek2_o","meta_tp_kek1_new","insd_desc","create","last_update","full_coverage","s1","s2","s3","s4","s5","s6","s7","s8","weapon","wpnfarm","wpnfarmman","wpnfarmhmde","wpnexpl","wpnshrp","wpnblunt","wpnfire","intervention","intvnrsecforfrml","intvnrtni","intvnrpol","intvnrbrimob","intvnrcvln","intvntnressucces","intvntnviolup","actcountrelormas","actcountparpol","actcountseprtst","actcountgov","actcountstudents","secvssec","onewayformconf","twowayformconf","death1","death3","death5","death10","largeinc","evperiod","pevperiod","preevperiod","ev2period","pev2period"
"ACEH","01/05/2004",2004,5,2,"11A147",11,"Nanggro Aceh Darussalam",1108,"ACEH BESAR",1108120,"PEUKAN BADA",0,"TIDAK ADA",,,,17,,0,1,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,"-",6,0,,1,0,9903,,9,,0,,88889,"1/5. ditemukan sebuah bom rakitan aktif seberat 20 kg ditemukan tim alap-alap, yonif 122/DJ di Gampong lambade, kec. Peukan bada, aceh baru.","16/03/2010","16/03/2010",1,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","01/05/2004",2004,5,2,"11A148",11,"Nanggro Aceh Darussalam",1111,"ACEH UTARA",1111110,"LHOKSUKON",0,"TIDAK ADA","gampong seuneubok baro",,,14,,0,17,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,"-",5,0,,1,0,9903,,6,,0,,88889,"1/5. tim-2 yonif 501 terlibat bentrok dengan pasukan gam di gampong seuneubok baro, kec. Lhoksukon. Dalam insiden itu aparat berhasil menyita 1 pestol rakitan, 22 butir peluru kaliber 5,56 mm dan lima butur kaliber 9 mm.","16/03/2010","16/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"ACEH","01/05/2004",2004,5,2,"11A149",11,"Nanggro Aceh Darussalam",1110,"BIREUEN",1110040,"PEUDADA",0,"TIDAK ADA",,,,14,,0,17,,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,"-",5,0,,1,0,9903,,6,,0,,88889,"1/5. terjadi insiden baku tembak antara tni 1/C yonif dengan gam di kec. Peudada, dalam insiden ini 1 orang anggota gam tanpa identitas tewas.","16/03/2010","16/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"ACEH","01/05/2004",2004,5,2,"11A150",11,"Nanggro Aceh Darussalam",1109,"PIDIE",1109140,"PADANG TIJI",0,"TIDAK ADA",,,,14,,0,17,,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,"-",5,0,,1,0,9903,,6,,0,,88889,"1/5. terjadi insiden baku tembak antara tni dan gam di aceh utara dalam insiden ini Sulaima (65) anggota gam dapat dilumpuhkan.","16/03/2010","16/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"ACEH","02/05/2004",2004,5,2,"11A151",11,"Nanggro Aceh Darussalam",1108,"ACEH BESAR",1108050,"MESJID RAYA",0,"TIDAK ADA","le su'um",,,17,,0,9,,1,0,0,0,0,,,,,0,0,0,0,1,0,0,0,0,0,"-",5,0,,2,0,7703,,13,,0,,88887,"2/5. seorang petani Aceh Besar, Mudawah diculik oleh tentara gam, para tentara gam menggunakan senjata AK-47.","16/03/2010","16/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","02/05/2004",2004,5,2,"11A152",11,"Nanggro Aceh Darussalam",1105,"ACEH TIMUR",1105100,"RANTAU SELAMAT",0,"TIDAK ADA","air bayeun",,,17,,0,1,,3,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,"-",5,0,,2,0,7703,,14,,0,,88887,"2/5. 3 orang gadis, Leni (21), Wilyawati (17), Yusnida (17) dirampok oleh sekelompok gam di kawasan gampong, Air bayeun, kec. Rantau selamat, Aceh timur.","16/03/2010","16/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","02/05/2004",2004,5,2,"11A153",11,"Nanggro Aceh Darussalam",1105,"ACEH TIMUR",1105112,"PEUREULAK BARAT",0,"TIDAK ADA",,,,14,,0,17,,0,0,0,0,0,,,,,2,0,0,0,0,0,0,0,0,0,"-",5,0,,1,0,9903,,6,,0,,88889,"2/5. terjadi insiden bentrokan antara tni dan gam di peureulak barat, Aceh Timur pukul 16.00, dalam insiden ini 2 anggota gam tewas, yakni Satiwan (29) dan M Fitrah.","16/03/2010","16/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"ACEH","03/05/2004",2004,5,2,"11A154",11,"Nanggro Aceh Darussalam",1117,"BENER MERIAH",1117070,"PERMATA",0,"TIDAK ADA",,,,17,,0,9,,1,0,0,0,0,,,,,0,0,1,0,0,0,0,0,0,0,"-",5,0,,1,0,9903,,11,,0,,88889,"3/5. seorang petani Salahudin (45) ditembak oleh gam dan mengalami luka di bagian leher dan mata kanan, insiden ini terjadi kab. Bener meriah.","16/03/2010","16/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","03/05/2004",2004,5,2,"11A155",11,"Nanggro Aceh Darussalam",1112,"ACEH BARAT DAYA",1112020,"TANGAN-TANGAN",0,"TIDAK ADA",,,,14,,0,17,,1,0,0,0,0,,,,,0,0,1,0,0,0,0,0,0,0,"-",5,0,,1,0,9903,,11,,0,,88889,"3/5. trjadi insiden penyergapan antara tni ampel 8 yonif 142/K1 dengan tna di lokasi kec. Tangan-tangan, aceh barat daya. Sekitar pukul 17.00 WIB. Dalam insiden ini Abdul Gafur (40) tertembak.","16/03/2010","16/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ACEH","03/05/2004",2004,5,2,"11A156",11,"Nanggro Aceh Darussalam",1109,"PIDIE",1109090,"TIRO/TRUSEB",0,"TIDAK ADA",,,,14,,0,17,,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,"-",5,0,,1,0,9903,,6,,0,,88889,"3/5. terjadi insiden baku tembak antara tim ikrar 3 Yonif- 600 dan tni dgn gam di kec. Tiro, pidie. Sekitar pukul 11.30. dalam insiden itu seorang sparatis gam dilumpuhkan.","16/03/2010","16/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"ACEH","04/05/2004",2004,5,2,"11A157",11,"Nanggro Aceh Darussalam",1109,"PIDIE",1109070,"GLUMPANG TIGA",0,"TIDAK ADA","gampong panjo rimba",,,14,,0,17,,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,"-",5,0,,1,0,9903,,6,,0,,88889,"4/5. terjadi insiden baku tembak antara tim gabungan yonif 600/raider dengan pos sattis 24 melawan segerombolan gam di polo rimba, kec. Glumpang tiga, pidie. Dlm insiden itu anis iskandar (27) dapat dilumpuhkan.","16/03/2010","16/03/2010",1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
